iter	Passed	Remaining
0	1	133
1	2	121
2	3	114
3	4	105
4	5	107
5	6	105
6	7	104
7	8	102
8	10	103
9	11	102
10	12	100
11	13	100
12	14	99
13	15	97
14	16	96
15	18	94
16	19	93
17	20	92
18	21	90
19	22	90
20	23	90
21	25	88
22	26	87
23	27	85
24	28	84
25	29	82
26	30	81
27	30	79
28	31	78
29	32	76
30	33	75
31	34	73
32	35	72
33	36	70
34	37	69
35	38	67
36	39	66
37	39	65
38	40	63
39	41	62
40	42	61
41	42	59
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	55	42
57	56	41
58	57	40
59	59	39
60	60	38
61	61	37
62	62	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	72	24
75	74	23
76	74	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	81	15
84	82	14
85	83	13
86	85	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
